LECA_id;Site;Parcelle;Echantillon;Repet;Couples;Trt;nb_edge;nb_node;density;brown_sources;light_sources;bact_sources;fung_sources;brown_green_ratio;brownsum;greensum;bacteria_fungi_ratio;bactsum;fungsum;observation_id
BISE30_a;Lus;T4;2;1;E-;-;2983;337;0,026344143;225;8;197;23;26,18181818;3744;143;22,11801242;3561;161;BISE30_a
BISE30_b;Lus;T4;2;2;E-;-;2962;331;0,027117092;230;5;211;17;41,62222222;3746;90;26,46323529;3599;136;BISE30_b
BISE30_c;Lus;T4;2;3;E-;-;2585;315;0,02613487;222;7;202;16;49,71;4971;100;50,65625;4863;96;BISE30_c
BISE30_d;Lus;T4;2;4;E-;-;2465;329;0,022842687;230;7;202;21;36,96183206;4842;131;31,68707483;4658;147;BISE30_d
BISE31_a;Lus;T4;3;1;E-;-;3384;385;0,02288961;262;19;233;16;17,98046875;4603;256;46,36458333;4451;96;BISE31_a
BISE31_b;Lus;T4;3;2;E-;-;3201;352;0,02590812;231;11;205;19;25,12626263;4975;198;22,63157895;4730;209;BISE31_b
BISE31_c;Lus;T4;3;3;E-;-;3641;371;0,026524368;234;18;213;15;12,45476773;5094;409;36,4962963;4927;135;BISE31_c
BISE31_d;Lus;T4;3;4;E-;-;3964;394;0,025600289;260;16;234;17;23,77674419;5112;215;36,27941176;4934;136;BISE31_d
BISE32_a;Lus;T4;4;1;E-;-;3387;415;0,019713637;283;15;258;16;20,79310345;7839;377;46,91875;7507;160;BISE32_a
BISE32_b;Lus;T4;4;2;E-;-;3639;374;0,026085648;251;11;230;16;26,76966292;4765;178;36,09375;4620;128;BISE32_b
BISE32_c;Lus;T4;4;3;E-;-;2957;390;0,019491134;265;15;241;18;17,26612903;4282;248;28,55555556;4112;144;BISE32_c
BISE32_d;Lus;T4;4;4;E-;-;3803;414;0,022242107;287;13;255;26;29,5;5310;180;32,82051282;5120;156;BISE32_d
BISE33_a;Lus;TL6;1;1;D+;+;2274;310;0,02373943;225;14;201;20;21,07333333;3161;150;25,225;3027;120;BISE33_a
BISE33_b;Lus;TL6;1;2;D+;+;2552;348;0,021133525;240;15;211;21;22,35638298;4203;188;32,00793651;4033;126;BISE33_b
BISE33_c;Lus;TL6;1;3;D+;+;2465;351;0,02006512;240;14;214;21;24,38392857;5462;224;22,2987013;5151;231;BISE33_c
BISE33_d;Lus;TL6;1;4;D+;+;2999;345;0,025269633;228;19;202;22;13,9137931;4842;348;30,32467532;4670;154;BISE33_d
BISE34_a;Lus;TL6;2;1;D+;+;2462;392;0,016062947;272;18;249;18;23,28042328;4400;189;33,75396825;4253;126;BISE34_a
BISE34_b;Lus;TL6;2;2;D+;+;2678;328;0,0249683;229;19;209;14;15,12554113;3494;231;30,01785714;3362;112;BISE34_b
BISE34_c;Lus;TL6;2;3;D+;+;3027;369;0,022291446;260;19;230;23;20,75342466;6060;292;27,8647343;5768;207;BISE34_c
