"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"0";"1";"2"
"BISE19_b";"Lus";"T1";3;2;"C+";13;4,09541149120554;2,46191408733691
"BISE19_c";"Lus";"T1";3;3;"C+";14;4,21129999684301;2,53035160026459
"BISE19_d";"Lus";"T1";3;4;"C+";13;4,16839678934918;2,55642311169557
"BISE20_a";"Lus";"T1";4;1;"C+";12;3,91644225982828;2,38381687851951
"BISE20_b";"Lus";"T1";4;2;"C+";12;4,29479845124299;2,56735270193533
"BISE20_c";"Lus";"T1";4;3;"C+";12;4,01577633221764;2,45882721528902
"BISE20_d";"Lus";"T1";4;4;"C+";12;4,09135876322816;2,48618023644272
"BISE21_a";"Lus";"T2";1;1;"C-";12;4,0796127575132;2,52275777321455
"BISE21_b";"Lus";"T2";1;2;"C-";12;4,11224599758358;2,55762551310388
"BISE21_c";"Lus";"T2";1;3;"C-";14;4,09771633605681;2,47006762962345
"BISE21_d";"Lus";"T2";1;4;"C-";12;4,02331411590304;2,46823753288185
"BISE22_a";"Lus";"T2";2;1;"C-";12;4,18351498642275;2,58351589587897
"BISE22_b";"Lus";"T2";2;2;"C-";12;4,17229288584251;2,57847953923599
"BISE22_c";"Lus";"T2";2;3;"C-";12;3,92697536980953;2,41526515985037
"BISE22_d";"Lus";"T2";2;4;"C-";13;4,09580892706589;2,51924716374844
"BISE23_a";"Lus";"T2";3;1;"C-";11;3,98942474653706;2,43139240506329
"BISE23_b";"Lus";"T2";3;2;"C-";13;4,10515036840239;2,43465849752837
"BISE23_c";"Lus";"T2";3;3;"C-";13;4,00913647971665;2,42953973274805
"BISE23_d";"Lus";"T2";3;4;"C-";13;3,81767017071485;2,3375073580564
"BISE24_a";"Lus";"T2";4;1;"C-";12;4,37043974362214;2,76234989573596
"BISE24_b";"Lus";"T2";4;2;"C-";12;4,2389204010113;2,66630002264566
"BISE24_c";"Lus";"T2";4;3;"C-";13;4,41670127727729;2,74323075630723
"BISE24_d";"Lus";"T2";4;4;"C-";13;4,8192481774701;3,08503183959473
"BISE25_a";"Lus";"T3";1;1;"E+";12;4,27474508598903;2,68791174822743
"BISE25_b";"Lus";"T3";1;2;"E+";12;4,29494456648681;2,66038578982647
"BISE25_c";"Lus";"T3";1;3;"E+";12;4,21079847865162;2,594121680031
"BISE25_d";"Lus";"T3";1;4;"E+";12;4,65564040231661;2,90842416446641
"BISE26_a";"Lus";"T3";2;1;"E+";12;4,4498073435885;2,75619903478116
"BISE26_b";"Lus";"T3";2;2;"E+";13;4,03047050159219;2,43071393384298
"BISE26_c";"Lus";"T3";2;3;"E+";12;4,53145900199261;2,80596968080098
"BISE26_d";"Lus";"T3";2;4;"E+";11;4,10224899172534;2,56424867513818
"BISE27_a";"Lus";"T3";3;1;"E+";11;4,09632417116103;2,57939878424515
"BISE27_b";"Lus";"T3";3;2;"E+";11;4,21822075561828;2,75140186915888
"BISE27_c";"Lus";"T3";3;3;"E+";12;4,42743917187759;2,83563605505317
"BISE27_d";"Lus";"T3";3;4;"E+";14;4,32842411247801;2,66396275982855
"BISE28_a";"Lus";"T3";4;1;"E+";13;4,88835891807259;3,0507337175953
"BISE28_b";"Lus";"T3";4;2;"E+";12;4,72296413678526;2,94103710217142
"BISE28_c";"Lus";"T3";4;3;"E+";12;4,4988679919756;2,79110389920298
"BISE28_d";"Lus";"T3";4;4;"E+";13;4,6808186217255;2,88484087102178
"BISE29_a";"Lus";"T4";1;1;"E-";13;4,21997008689258;2,47560207917409
"BISE29_b";"Lus";"T4";1;2;"E-";12;4,13788871951683;2,53653955843686
"BISE29_c";"Lus";"T4";1;3;"E-";12;4,18177392482994;2,59533487694023
"BISE29_d";"Lus";"T4";1;4;"E-";14;4,78565651446451;2,87468044407101
"BISE30_a";"Lus";"T4";2;1;"E-";12;4,22204461847962;2,66561529271207
"BISE30_b";"Lus";"T4";2;2;"E-";13;3,84476196478438;2,34173523137869
"BISE30_c";"Lus";"T4";2;3;"E-";12;4,03320307386936;2,36708491391888
"BISE30_d";"Lus";"T4";2;4;"E-";13;4,11516658797562;2,49603081403542
"BISE31_a";"Lus";"T4";3;1;"E-";12;4,28099452777202;2,57943859152938
"BISE31_b";"Lus";"T4";3;2;"E-";12;4,42220339571203;2,7029048221379
"BISE31_c";"Lus";"T4";3;3;"E-";13;4,58495535964118;2,7989417989418
"BISE31_d";"Lus";"T4";3;4;"E-";12;4,26507108017559;2,62867312023934
"BISE32_a";"Lus";"T4";4;1;"E-";13;4,09439740750462;2,46713758320979
"BISE32_b";"Lus";"T4";4;2;"E-";12;4,18089229105952;2,52168257516076
"BISE32_c";"Lus";"T4";4;3;"E-";12;4,05116505089291;2,45897844254355
"BISE32_d";"Lus";"T4";4;4;"E-";12;3,97880172631575;2,47050822669104
"BISE33_a";"Lus";"TL6";1;1;"D+";13;3,7281727186186;2,24954053989546
"BISE33_b";"Lus";"TL6";1;2;"D+";12;4,20093967888769;2,54593484631345
"BISE33_c";"Lus";"TL6";1;3;"D+";14;4,21917400567505;2,51503572021931
"BISE33_d";"Lus";"TL6";1;4;"D+";12;4,42656931184392;2,68981694416337
"BISE34_a";"Lus";"TL6";2;1;"D+";12;3,87471053154796;2,35757575757576
"BISE34_b";"Lus";"TL6";2;2;"D+";13;3,8542174364733;2,33937232840912
"BISE34_c";"Lus";"TL6";2;3;"D+";14;4,04508830003974;2,42603593161402
"BISE34_d";"Lus";"TL6";2;4;"D+";13;3,80503402832257;2,32257099254915
"BISE35_a";"Lus";"TL6";3;1;"D+";12;4,15593925021487;2,56695489113449
"BISE35_b";"Lus";"TL6";3;2;"D+";11;3,74620784909913;2,37059901610881
"BISE35_c";"Lus";"TL6";3;3;"D+";12;4,32194278239257;2,7477168670274
"BISE35_d";"Lus";"TL6";3;4;"D+";13;4,17139325648053;2,59005419190309
"BISE36_a";"Lus";"TL6";4;1;"D+";12;4,34917813639879;2,7274443186108
"BISE36_b";"Lus";"TL6";4;2;"D+";13;4,43427742943284;2,70319727264351
"BISE36_c";"Lus";"TL6";4;3;"D+";12;4,26103300729805;2,6489715102849
"BISE36_d";"Lus";"TL6";4;4;"D+";11;4,42392013599085;2,80176824526217
"BISE37_a";"Lus";"TL3";1;1;"D-";12;3,90945727388303;2,38703638244112
"BISE37_b";"Lus";"TL3";1;2;"D-";13;4,20664141460521;2,5650808044823
"BISE37_c";"Lus";"TL3";1;3;"D-";12;4,2064790702255;2,57564752298727
"BISE37_d";"Lus";"TL3";1;4;"D-";12;3,89670793319925;2,40266865834566
"BISE38_a";"Lus";"TL3";2;1;"D-";12;4,66153248914841;2,98762747576907
"BISE38_b";"Lus";"TL3";2;2;"D-";12;4,30308809898156;2,69261241646255
"BISE38_c";"Lus";"TL3";2;3;"D-";12;4,24429474120961;2,63931048147414
"BISE38_d";"Lus";"TL3";2;4;"D-";12;4,42005330200611;2,73803819563283
"BISE39_a";"Lus";"TL3";3;1;"D-";13;4,64635339070916;2,86805389606809
