verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family
Nostocaceae;Nostocaceae;2884;EXACT;96;ACCEPTED;FAMILY;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae
Nucleariidae;Nucleariidae;2329;EXACT;94;ACCEPTED;FAMILY;Protozoa;;Filosia;Aconchulinida;Nucleariidae
Oligoflexaceae;Oligoflexaceae;9497819;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;;;Oligoflexaceae
Opitutaceae;Opitutaceae;5613;EXACT;96;ACCEPTED;FAMILY;Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae
Orbiliomycetes;Orbiliomycetes;181;EXACT;96;ACCEPTED;CLASS;Fungi;Ascomycota;Orbiliomycetes;;
Paenibacillaceae;Paenibacillaceae;4706;EXACT;96;ACCEPTED;FAMILY;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae
Pezizomycetes;Pezizomycetes;316;EXACT;96;ACCEPTED;CLASS;Fungi;Ascomycota;Pezizomycetes;;
Planococcaceae;Planococcaceae;4707;EXACT;96;ACCEPTED;FAMILY;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae
Polyangiaceae;Polyangiaceae;4876;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae
Pseudonocardiaceae;Pseudonocardiaceae;3841;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;;Actinomycetales;Pseudonocardiaceae
Pyrinomonadaceae;Pyrinomonadaceae;9346095;EXACT;96;ACCEPTED;FAMILY;Bacteria;Acidobacteria;;;Pyrinomonadaceae
Rhizobiaceae;Rhizobiaceae;7818;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae
Rhodanobacteraceae;Rhodanobacteraceae;9585732;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;;Rhodanobacteraceae
Rhodospirillaceae;Rhodospirillaceae;4730;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
Rickettsiaceae;Rickettsiaceae;4647;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae
Saccharomycetes;Saccharomycetes;182;EXACT;96;ACCEPTED;CLASS;Fungi;Ascomycota;Saccharomycetes;;
Solirubrobacteraceae;Solirubrobacteraceae;4893819;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;Actinobacteriia;Solirubrobacterales;Solirubrobacteraceae
Sordariomycetes;Sordariomycetes;320;EXACT;96;ACCEPTED;CLASS;Fungi;Ascomycota;Sordariomycetes;;
