LECA_id;Site;Parcelle;Echantillon;Repet;Couples
BISE38_b;Lus;TL3;2;2;D-
BISE38_c;Lus;TL3;2;3;D-
BISE38_d;Lus;TL3;2;4;D-
BISE39_a;Lus;TL3;3;1;D-
BISE39_b;Lus;TL3;3;2;D-
BISE39_c;Lus;TL3;3;3;D-
BISE39_d;Lus;TL3;3;4;D-
BISE40_a;Lus;TL3;4;1;D-
BISE40_b;Lus;TL3;4;2;D-
BISE40_c;Lus;TL3;4;3;D-
BISE40_d;Lus;TL3;4;4;D-
BISE41_a;ThLaq;Th11;1;1;G-
BISE41_b;ThLaq;Th11;1;2;G-
BISE41_c;ThLaq;Th11;1;3;G-
BISE41_d;ThLaq;Th11;1;4;G-
BISE42_a;ThLaq;Th11;2;1;G-
BISE42_b;ThLaq;Th11;2;2;G-
BISE42_c;ThLaq;Th11;2;3;G-
BISE42_d;ThLaq;Th11;2;4;G-
BISE43_a;ThLaq;Th11;3;1;G-
BISE43_b;ThLaq;Th11;3;2;G-
BISE43_c;ThLaq;Th11;3;3;G-
BISE43_d;ThLaq;Th11;3;4;G-
BISE44_a;ThLaq;Th11;4;1;G-
BISE44_b;ThLaq;Th11;4;2;G-
BISE44_c;ThLaq;Th11;4;3;G-
BISE44_d;ThLaq;Th11;4;4;G-
BISE45_a;ThLaq;Th13;1;1;G+
BISE45_b;ThLaq;Th13;1;2;G+
BISE45_c;ThLaq;Th13;1;3;G+
BISE45_d;ThLaq;Th13;1;4;G+
BISE46_a;ThLaq;Th13;2;1;G+
BISE46_b;ThLaq;Th13;2;2;G+
BISE46_c;ThLaq;Th13;2;3;G+
BISE46_d;ThLaq;Th13;2;4;G+
BISE47_a;ThLaq;Th13;3;1;G+
BISE47_b;ThLaq;Th13;3;2;G+
BISE47_c;ThLaq;Th13;3;3;G+
BISE47_d;ThLaq;Th13;3;4;G+
BISE48_a;ThLaq;Th13;4;1;G+
BISE48_b;ThLaq;Th13;4;2;G+
BISE48_c;ThLaq;Th13;4;3;G+
BISE48_d;ThLaq;Th13;4;4;G+
BISE49_a;ThLaq;Th18;1;1;F-
BISE49_b;ThLaq;Th18;1;2;F-
BISE49_c;ThLaq;Th18;1;3;F-
BISE49_d;ThLaq;Th18;1;4;F-
BISE50_a;ThLaq;Th18;2;1;F-
BISE50_b;ThLaq;Th18;2;2;F-
BISE50_c;ThLaq;Th18;2;3;F-
BISE50_d;ThLaq;Th18;2;4;F-
BISE51_a;ThLaq;Th18;3;1;F-
BISE51_b;ThLaq;Th18;3;2;F-
BISE51_c;ThLaq;Th18;3;3;F-
BISE51_d;ThLaq;Th18;3;4;F-
BISE52_a;ThLaq;Th18;4;1;F-
BISE52_b;ThLaq;Th18;4;2;F-
BISE52_c;ThLaq;Th18;4;3;F-
BISE52_d;ThLaq;Th18;4;4;F-
BISE53_a;ThLaq;Th20;1;1;F+
BISE53_b;ThLaq;Th20;1;2;F+
BISE53_c;ThLaq;Th20;1;3;F+
BISE53_d;ThLaq;Th20;1;4;F+
BISE54_a;ThLaq;Th20;2;1;F+
BISE54_b;ThLaq;Th20;2;2;F+
BISE54_c;ThLaq;Th20;2;3;F+
BISE54_d;ThLaq;Th20;2;4;F+
BISE55_a;ThLaq;Th20;3;1;F+
BISE55_b;ThLaq;Th20;3;2;F+
BISE55_c;ThLaq;Th20;3;3;F+
BISE55_d;ThLaq;Th20;3;4;F+
BISE56_a;ThLaq;Th20;4;1;F+
BISE56_b;ThLaq;Th20;4;2;F+
BISE56_c;ThLaq;Th20;4;3;F+
BISE56_d;ThLaq;Th20;4;4;F+
BISE57_a;ThLaq;Int;1;1;H+
BISE57_b;ThLaq;Int;1;2;H+
BISE57_c;ThLaq;Int;1;3;H+
BISE57_d;ThLaq;Int;1;4;H+
BISE58_a;ThLaq;Int;2;1;H+
BISE58_b;ThLaq;Int;2;2;H+
BISE58_c;ThLaq;Int;2;3;H+
BISE58_d;ThLaq;Int;2;4;H+
BISE59_a;ThLaq;Int;3;1;H+
BISE59_b;ThLaq;Int;3;2;H+
BISE59_c;ThLaq;Int;3;3;H+
BISE59_d;ThLaq;Int;3;4;H+
BISE60_a;ThLaq;Int;4;1;H+
BISE60_b;ThLaq;Int;4;2;H+
BISE60_c;ThLaq;Int;4;3;H+
BISE60_d;ThLaq;Int;4;4;H+
BISE61_a;ThLaq;Ext;1;1;H-
BISE61_b;ThLaq;Ext;1;2;H-
BISE61_c;ThLaq;Ext;1;3;H-
BISE61_d;ThLaq;Ext;1;4;H-
BISE62_a;ThLaq;Ext;2;1;H-
BISE62_b;ThLaq;Ext;2;2;H-
BISE62_c;ThLaq;Ext;2;3;H-
BISE62_d;ThLaq;Ext;2;4;H-
BISE63_a;ThLaq;Ext;3;1;H-
BISE63_b;ThLaq;Ext;3;2;H-
BISE63_c;ThLaq;Ext;3;3;H-
BISE63_d;ThLaq;Ext;3;4;H-
BISE64_a;ThLaq;Ext;4;1;H-
BISE64_b;ThLaq;Ext;4;2;H-
BISE64_c;ThLaq;Ext;4;3;H-
BISE64_d;ThLaq;Ext;4;4;H-
