"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,0720537906926325;0,0671735154320901;0,200480583665643;0,0993343510802565;0,0805068057381571;0,0474050770382457;0,0699936440260969;0,050453695342565;0,142323257593694;0,0560366840110839;0,0841606176366553;0,118056934615165;0,0959856690186536;0,170761103851907;0,207031367733123;0,208545989048021;0,152867657293438;0,179432989670264;0,0825750604040103;0,0878116642582144;0,15089828248819;0,105294111820285;0,0951088900923063;0,0671942580208848;0,0982971535231519;0,0680691589519486;0,0817968915553076;0,095559282378284;0,058403203666011
"P2";0,0720537906926325;0;0,234150385346234;0,236769514329334;0,107965455108404;0,0807677685136064;0,0661211143604314;0,0631342065400525;0,0652367839703738;0,0728259867676544;0,0828353388804078;0,0920108957484684;0,0572230801071873;0,076282657717265;0,213312964355483;0,148520980200426;0,211047737089953;0,169406133429483;0,206332139054121;0,10558797657065;0,114459581748322;0,120698714973052;0,117229634488799;0,079980107240126;0,104593954721423;0,0548830528099641;0,0752675558754186;0,0781583117372082;0,069306930693075;0,0521716461128786
"P3";0,0671735154320901;0,0652367839703738;0;0,0926394785974874;0,111026559167645;0,04855576905288;0,0750233866350725;0,0700234252612466;0,186975744111533;0,0659915909690914;0,0644216691068867;0,222225761303371;0,0927801266108328;0,10635334602114;0,203486686294361;0,212723843683243;0,216357015765502;0,146254375143306;0,144606520815868;0,0730706233932643;0,0510302401678982;0,0990613898443615;0,143873093298058;0,0706786695479097;0,0554016620498592;0,088800496316237;0,103648880909575;0,0921608909196783;0,0683002412398429;0,0641183046065541
"P4";0,234150385346234;0,186975744111533;0,222225761303371;0;0,0788316578802865;0,0715143349675722;0,0612781893542721;0,0599111294803243;0,207390107321202;0,128884700026903;0,0607157672597039;0,231100696426303;0,0926829934975686;0,075795303649899;0,188796206617433;0,228431189301524;0,161252005309797;0,181723761415942;0,220210193974883;0,0819051770630444;0,083620020833731;0,106468705633263;0,123027586133173;0,0617298081496993;0,0602310962856391;0,084295772254591;0,104290298306795;0,050052967959089;0,0774125210223236;0,099235923451676
"P5";0,200480583665643;0,207390107321202;0,231100696426303;0,102599104973067;0;0,0753935385579952;0,0397006740448277;0,0919468454801399;0,186265229089501;0,0832177001861443;0,0557430602822886;0,221532040646819;0,0489440702224666;0,0886792178739562;0,198036221117257;0,219310043835142;0,160421057147604;0,177995485616737;0,226137270178343;0,113183030434091;0,0827837456106091;0,0668635283664544;0,111963018924442;0,0686269418952909;0,0895338490167906;0,0929965487854996;0,0828508206778524;0,0861914496178142;0,0833957421637098;0,0525870500424643
"P6";0,236769514329334;0,186265229089501;0,221532040646819;0,0395581911597616;0,0854132617265528;0;0,0753029145317307;0,0499174447008182;0,102611563847093;0,105296790372683;0,0500210001829734;0,114892214747422;0,0831216804945496;0,0786054748447772;0,225175069876617;0,0854132617265528;0,183126539177974;0,224933483666006;0,217025492382424;0,0984840926301428;0,0757958921158483;0,102780210458345;0,119988434900261;0,0429168175403261;0,0748491309139938;0,0619325389964331;0,0668497910616961;0,0650592216674451;0,0653811547064251;0,0570981278272565
"P7";0,0926394785974874;0,102611563847093;0,114892214747422;0,162940229204879;0,157562388754586;0,173862353302246;0;0,0713840306792932;0,0974357624538914;0,0751009121940484;0,0784033031552042;0,116593525690368;0,0906301994797578;0,102599104973067;0,230181550230352;0,157562388754586;0,182978054365484;0,20277831132775;0,0706738345251077;0,107736708425769;0,0817805921773209;0,122958568783083;0,117724573290569;0,076799502724251;0,0845570877838402;0,0829651309082177;0,0936371517052834;0,084687043153996;0,0778906073977297;0,0846964206107256
"P8";0,0993343510802565;0,0974357624538914;0,116593525690368;0,145421971221326;0,120986206915239;0,152867657293438;0,0706738345251077;0;0,127277679114773;0,0693074294579529;0,064080910303364;0,140111936075657;0,111631905872528;0,0395581911597616;0,174332021669263;0,120986206915239;0,188030606449956;0,176460355255541;0,0955108339608596;0,0971241588788675;0,102385425588893;0,13962678209932;0,110445220551731;0,0535775972842695;0,0945622545046928;0,0886756801808306;0,0866431055605519;0,0654171958793615;0,0620363236940812;0,053722000841391
"P9";0,107965455108404;0,127277679114773;0,140111936075657;0,163288282566719;0,149109166763887;0,169406133429483;0,0955108339608596;0,0714648993877553;0;0,0702083898738181;0,0659915909690914;0,134905450671244;0,0560574397867762;0,162940229204879;0,196414023322943;0,149109166763887;0,212422130996055;0,210259682100617;0,157312888947645;0,0920443691017546;0,0633225333281433;0,0983617055857606;0,110415666571738;0,074167235739039;0,118842556246527;0,0823052432612762;0,103291627041985;0,0702083898738181;0,0769237492028805;0,0739894923420509
"P10";0,111026559167645;0,142323257593694;0,134905450671244;0,147012428284804;0,128153081516513;0,146254375143306;0,157312888947645;0,137127227782428;0,153278255491973;0;0,0643269280979765;0,0958769448286555;0,0892433025913447;0,145421971221326;0,216421290602464;0,128153081516513;0,17016533727684;0,231095659102671;0,111537146536826;0,142917669726296;0,0902775686877032;0,0997973115469589;0,123768208390684;0,0935661999376803;0,112755699748413;0,0896112888008709;0,0823266863175313;0,0906190197243554;0,0928797243422345;0,0579553472457528
