"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P13";0,0844036697247705;0,134246575342466;0,120689655172414;0,22680412371134;0,197959183673469;0,237603305785124;0,0696378830083566;0,111313868613139;0,0813397129186604;0,168260038240918;0,140569395017794;0,126436781609195;0;0,192949907235622;0,230483271375465;0,197959183673469;0,210922787193974;0,228003784295175;0,0863309352517985;0,147424511545293;0,133951137320977;0,144631765749778;0,145118733509235;0,104631217838765;0,0932126696832578;0,0732568402471314;0,0730106644790811;0,0778145695364238;0,0913621262458473;0,0453421269579555
"P14";0,0506666666666664;0,0867256637168141;0,0583873957367933;0,217910447761194;0,201970443349754;0,216350947158524;0,0863309352517985;0,0645446507515473;0,0981481481481481;0,139685476410731;0,106125970664366;0,104631217838765;0,0865842055185537;0;0,185807656395892;0,201970443349754;0,23062558356676;0,229007633587786;0,0842105263157895;0,0863787375415281;0,0960735171261486;0,119718309859155;0,128160418482999;0,125628140703517;0,111313868613139;0,122591943957969;0,0856672158154861;0,0644883920894237;0,0790546047269765;0,0596892886345051
"P15";0,0737207285342583;0,10880829015544;0,0948509485094851;0,204259438528558;0,188878235858101;0,191076624636275;0,0842105263157895;0,075064710957722;0,0703971119133573;0,15058611361587;0,103622577927548;0,125628140703517;0,0973123262279889;0,0628366247755834;0;0,188878235858101;0,219241443108233;0,189591078066915;0,0868824531516184;0,0867052023121386;0,162790697674419;0,129144851657941;0,0443906376109766;0,0504885993485342;0,120996441281139;0,0885416666666665;0,11377245508982;0,0883797054009818;0,0482529118136439;0,0861040068201193
"P16";0,0783487784330243;0,0788590604026844;0,0972830850131463;0,21087160262418;0,221912720519963;0,224413145539906;0,0868824531516184;0,104777870913663;0,155866900175131;0,139107611548556;0,0794430794430794;0,0504885993485342;0,124887690925427;0,102787456445993;0,112244897959183;0;0,185617103984451;0,202911737943585;0,114982578397212;0,111313868613139;0,122289679098005;0,102253032928943;0,140569395017794;0,071547420965058;0,126416739319965;0,112244897959183;0,0960912052117264;0,0984020185029437;0,0793650793650791;0,0340909090909092
"P17";0,0490956072351421;0,0720411663807889;0,051121076233184;0,239193083573487;0,223596574690771;0,245428296438884;0,114982578397212;0,0899742930591259;0,123655913978495;0,115487914055506;0,0794979079497908;0,071547420965058;0,116835326586937;0,0570409982174689;0,0921739130434782;0,0692567567567568;0;0,225325884543762;0,136986301369863;0,0645446507515473;0,137931034482759;0,121447028423773;0,106125970664366;0,0998363338788868;0,119429590017825;0,0921739130434782;0,0677824267782428;0,0584307178631052;0,0763888888888888;0,0625521267723104
"P18";0,0685859441151566;0,0725126475548061;0,0872246696035242;0,247879359095193;0,23249299719888;0,235127478753541;0,136986301369863;0,118786857624263;0,10387323943662;0,129287598944591;0,0716049382716049;0,0998363338788868;0,140018066847335;0,0928196147110332;0,0786324786324784;0,0980066445182723;0,0780984719864175;0;0,082412914188615;0,075064710957722;0,0813397129186604;0,168260038240918;0,103622577927548;0,0804224207961006;0,140555058191585;0,0786324786324784;0,104651162790698;0,0662251655629138;0,0784475639966968;0,0927152317880795
"P19";0,0773109243697478;0,0577405857740585;0,0944055944055944;0,190654205607477;0,175925925925926;0,189138576779026;0,082412914188615;0,0535117056856187;0,110917030567686;0,155322862129145;0,0866013071895424;0,0804224207961006;0,121863799283154;0,0877497827975671;0,0737913486005088;0,0898598516075846;0,0834035383319292;0,0869925434962717;0;0,104777870913663;0,0981481481481481;0,139685476410731;0,0794430794430794;0,101639344262295;0,0951492537313432;0,0737913486005088;0,0658978583196046;0,0738589211618257;0,0713073005093376;0,0788177339901477
"P20";0,0636132315521629;0,0861486486486487;0,115622241835834;0,210576015108593;0,173058933582788;0,228003784295175;0,0857632933104631;0,0852320675105485;0,0687830687830686;0,133039647577093;0,0981038746908491;0,101639344262295;0,0932126696832578;0,0964912280701755;0,0821917808219179;0,10648918469218;0,0748299319727892;0,0685618729096988;0,0738589211618257;0;0,0703971119133573;0,15058611361587;0,0794979079497908;0,0900082576383154;0,138815207780725;0,0821917808219179;0,0780984719864175;0,0668896321070234;0,0800336983993259;0,0850884582982308
"P21";0,0410256410256411;0,0672340425531914;0,0587188612099645;0,230476190476191;0,19622641509434;0,229007633587786;0,109766637856525;0,0850340136054422;0,105777777777778;0,122557726465364;0,0830564784053156;0,0900082576383154;0,111313868613139;0,0645446507515473;0,075064710957722;0,0846605196982395;0,0437017994858613;0,0732940185341195;0,0668896321070234;0,0700421940928271;0;0,139107611548556;0,0716049382716049;0,0476190476190474;0,132969034608379;0,075064710957722;0,0834035383319292;0,0751633986928104;0,0710108604845447;0,0953206239168112
"P22";0,0784641068447411;0,0640066500415628;0,09375;0,191094619666048;0,196691176470588;0,189591078066915;0,0751054852320676;0,0780730897009967;0,127493495229835;0,12998266897747;0,0730519480519478;0,0476190476190474;0,120996441281139;0,087144089732528;0,120471777590564;0,0565110565110565;0,0728033472803347;0,0946502057613168;0,0751633986928104;0,0799670239076669;0,0913621262458473;0;0,0866013071895424;0,0206022187004753;0,132791327913279;0,120471777590564;0,0748299319727892;0,0585404971932637;0,0342629482071712;0,0782459157351676
"P23";0,0728910728910728;0,0587275693311582;0,087659574468085;0,1952770208901;0,202520252025203;0,202911737943585;0,0860927152317881;0,0839445802770986;0,144557823129252;0,12999150382328;0,0645418326693228;0,0206022187004753;0,126416739319965;0,0930626057529611;0,102479338842975;0,040192926045016;0,0607553366174056;0,0888529886914378;0,0585404971932637;0,0857605177993528;0,0790546047269765;0,0342629482071712;0;0,0638641875505255;0,122649955237243;0,102479338842975;0,0437017994858613;0,0867430441898525;0,065040650406504;0,080988917306053
"P24";0,0652173913043479;0,0524562864279767;0,0678260869565217;0,230483271375465;0,226519337016575;0,225325884543762;0,117497886728656;0,104825291181364;0,101650738488271;0,121527777777778;0,0715447154471545;0,0638641875505255;0,119429590017825;0,0855661192739845;0,0835443037974684;0,0730106644790811;0,0528080469404861;0,035449299258038;0,0867430441898525;0,0668868703550785;0,0482529118136439;0,065040650406504;0,0534716679968075;0;0,0628366247755834;0,0835443037974684;0,0728033472803347;0,0813475760065736;0,0710204081632653;0,0849134377576257
"P25";0,0730478589420656;0,0819397993311035;0,100436681222707;0,185807656395892;0,182238667900092;0,193638914873714;0,101867572156197;0,0643274853801168;0,102966841186736;0,121185701830863;0,0448979591836736;0,0681818181818181;0,140555058191585;0,09375;0,0796610169491525;0,0856672158154861;0,0841750841750841;0,0778145695364238;0,0813475760065736;0,0796019900497513;0,0793650793650791;0,0710204081632653;0,0657051282051282;0,0760425183973834;0;0,0796610169491525;0,0607553366174056;0,0921501706484642;0,0915254237288134;0,0916530278232406
"P26";0,0628272251308901;0,0668983492615118;0,0800000000000001;0,222222222222222;0,206563706563706;0,220703125;0,112091791703442;0,09375;0,0899182561307903;0,134301270417423;0,0796610169491523;0,108677337826453;0,0951492537313432;0,0731707317073171;0,0713656387665198;0,11377245508982;0,0813648293963254;0,0644883920894237;0,0921501706484642;0,0645994832041341;0,0763888888888888;0,0915254237288134;0,103906899418121;0,0611205432937181;0,0861040068201193;0;0,0528080469404861;0,0690495532087734;0,0702179176755446;0,0892857142857142
"P27";0,0954356846473028;0,0694214876033057;0,11130284728214;0,163133640552995;0,170776255707763;0,159741458910434;0,100671140939597;0,0635838150289016;0,0896551724137931;0,131782945736434;0,0556900726392251;0,0561797752808988;0,138815207780725;0,11663807890223;0,0787269681742042;0,0960912052117264;0,0948419301164725;0,0883797054009818;0,0690495532087734;0,0786885245901638;0,0784475639966968;0,0702179176755446;0,0538827258320125;0,0638641875505255;0,0340909090909092;0,0850884582982308;0;0,0667779632721199;0,076285240464345;0,108494533221194
"P28";0,052901023890785;0,0671197960917584;0,0799289520426287;0,226235741444867;0,210922787193974;0,234285714285714;0,095772217428818;0,0814940577249574;0,144631765749778;0,145390070921986;0,076285240464345;0,0618301731244848;0,132969034608379;0,0732568402471314;0,107665805340224;0,0677824267782428;0,0521813515825493;0,0984020185029437;0,0667779632721199;0,0951979780960404;0,0713073005093376;0,076285240464345;0,0593978844589096;0,0913621262458473;0,0625521267723104;0,0953206239168112;0,0849134377576257;0;0,0930041152263372;0,0758965804837362
"P29";0,073666384419983;0,0876897133220911;0,0925110132158591;0,242224316682375;0,23062558356676;0,240793201133144;0,147260273972603;0,133951137320977;0,119718309859155;0,145118733509235;0,0962962962962963;0,0916530278232406;0,132791327913279;0,122591943957969;0,107692307692308;0,104651162790698;0,0882852292020373;0,0584307178631052;0,0985915492957747;0,0836120401337792;0,0800336983993259;0,0930041152263372;0,0872374798061388;0,0453421269579555;0,0927152317880795;0,0782459157351676;0,0916530278232406;0,108494533221194;0;0,0562913907284768
"P30";0,0528967254408061;0,0953177257525084;0,0829694323144106;0,234360410830999;0,219241443108233;0,232927970065482;0,113752122241086;0,0960735171261486;0,129144851657941;0,128160418482999;0,0873469387755101;0,0779220779220779;0,122649955237243;0,0885416666666665;0,0864406779661018;0,0658978583196046;0,0673400673400673;0,0662251655629138;0,0714872637633526;0,0812603648424544;0,0710108604845447;0,0612244897959184;0,0560897435897434;0,0596892886345051;0,0788177339901477;0,080988917306053;0,0892857142857142;0,0758965804837362;0,0562913907284768;0
