consumer_gbif_key,consumer_rank,consumer_name,interaction_type,resource_name,resource_gbif_key,resource_rank,reference,remark
8159328,SPECIES,Spathidium longicaudatum,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
7695846,SPECIES,Sterkiella cavicola,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
7815322,SPECIES,Sterkiella histriomuscorum,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
7560112,SPECIES,Tachysoma granulifera,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
7439614,SPECIES,Tricoronella pulchra,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
8199022,SPECIES,Uroleptus lepisma,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
7969533,SPECIES,Urosomoida agilis,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
8298972,SPECIES,Urosomoida antarctica,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
7717324,SPECIES,Urosomoida dorsiincisura,eats,Amoebozoa,7509337,PHYLUM,Foissner 1998,
2626969,SPECIES,Olpidium brassicae,parasiteOf,Anethum,3034645,GENUS,FungalDataBase,
2513144,GENUS,Protomyces,parasiteOf,Angelica archangelica,5371808,SPECIES,FungalDataBase,
2513144,GENUS,Protomyces,parasiteOf,Angelica sylvestris,5371818,SPECIES,FungalDataBase,
2076745,SPECIES,Aulacorthum solani,eats,Tracheophyta,7707728,PHYLUM,https://www.brc.ac.uk/DBIF/invertebrates.aspx,
7825,FAMILY,Elateridae,eats,Tracheophyta,7707728,PHYLUM,,
1419844,GENUS,Forficula,eats,Tracheophyta,7707728,PHYLUM,albouy & Caussanel (1990) Faune de France 75.,
2518115,GENUS,Itersonilia,parasiteOf,Tracheophyta,7707728,PHYLUM,Funguild,
2076179,SPECIES,Myzus persicae,eats,Tracheophyta,7707728,PHYLUM,https://www.brc.ac.uk/DBIF/invertebrates.aspx,
1789671,GENUS,Noctua,eats,Tracheophyta,7707728,PHYLUM,https://www.brc.ac.uk/DBIF/invertebrates.aspx,
1194803,GENUS,Otiorhynchus,eats,Tracheophyta,7707728,PHYLUM,https://www.brc.ac.uk/DBIF/invertebrates.aspx,GloBi
3202728,GENUS,Pythium,eats,Tracheophyta,7707728,PHYLUM,GLoBi,
2513144,GENUS,Protomyces,parasiteOf,Anthriscus caucalis,5371743,SPECIES,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Anthriscus nemorosa,6027243,SPECIES,FungalDataBase,
2513144,GENUS,Protomyces,parasiteOf,Anthriscus sylvestris,5371742,SPECIES,FungalDataBase,
3202687,SPECIES,Hyphochytrium catenoides,parasiteOf,Aphanomyces,3202934,GENUS,10.3389/fmicb.2014.00244,
1419844,GENUS,Forficula,eats,Aphididae,3042,FAMILY,albouy & Caussanel (1990) Faune de France 75.,
2626969,SPECIES,Olpidium brassicae,parasiteOf,Apium,3034812,GENUS,FungalDataBase,
2513144,GENUS,Protomyces,parasiteOf,Aposeris foetida,3094355,SPECIES,FungalDataBase,
8229102,CLASS,Colpodea,eats,Apusomonadidae,4378322,FAMILY,,pred2 assoc au substrat
128048854,KINGDOM,Leptophryidae,eats,Apusomonadidae,4378322,FAMILY,,pred2 assoc au substrat
2329C1,FAMILY,Nucleariidae,eats,Apusomonadidae,4378322,FAMILY,,pred2 assoc au substrat
7982209,CLASS,Spirotrichea,eats,Apusomonadidae,4378322,FAMILY,,pred2 assoc au substrat
6586,FAMILY,Vampyrellidae,eats,Apusomonadidae,4378322,FAMILY,,pred2 assoc au substrat
7939212,SPECIES,Acineria uncinata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
6145343,SPECIES,Amphisiella binucleata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8034554,SPECIES,Amphisiella polycirrata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7405898,SPECIES,Amphisiella vitiphila,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8181547,SPECIES,Apoamphisiella tihanyiensis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7868482,SPECIES,Australocirrus octonucleatus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8307655,SPECIES,Australocirrus oscitans,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7644213,SPECIES,Australothrix alwinae,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7520435,SPECIES,Australothrix australis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8376435,SPECIES,Australothrix steineri,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8280112,SPECIES,Bakuella edaphoni,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7976171,SPECIES,Bakuella pampinaria,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7932878,SPECIES,Birojimia muscorum,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8076891,SPECIES,Birojimia terricola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7771896,SPECIES,Blepharisma americanum,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8118209,SPECIES,Bresslaua vorax,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7348345,SPECIES,Bresslaua insidiatrix,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8006704,SPECIES,Bresslauides australis australis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8022899,SPECIES,Bryometopus atypicus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8222210,SPECIES,Bryometopus hawaiiensis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7589411,SPECIES,Bryometopus triquetrus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8312067,SPECIES,Bursaria truncatella,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7635899,SPECIES,Colpoda atra,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7754454,SPECIES,Colpoda colpidiopsis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7364894,SPECIES,Colpoda cucullus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7559248,SPECIES,Colpoda inflata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7415565,SPECIES,Colpoda magna,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
