;Name;Level;conflict
1168;Urtica;genus;0
1169;Urtica dioica;species;0
1170;Verbena;genus;0
1171;Vetiveria zizanioides;species;0
1172;Vicia;genus;0
1174;Agropyron repens;species;0
1175;Agrostis palustris;species;0
1177;Bromus inermis;species;0
1178;Bromus tectorum;species;0
1179;Cynodon dactylon;species;0
1180;Elytrigia repens;species;0
1181;Festuca elatior;species;0
1182;Festuca myuros;species;0
1183;Hordeum jubatum;species;0
1185;Lolium;genus;0
1186;Panicum dichotomiflorum;species;0
1188;Poa annua;species;0
1190;Sorghum arundinaceum;species;0
1192;Sorghum verticilliflorum;species;0
1195;Triticum spelta;species;0
1199;Aegopodium;genus;0
1200;Ammi majus;species;0
1201;Angelica archangelica;species;0
1202;Angelica sylvestris;species;0
1203;Anthriscus caucalis;species;0
1204;Anthriscus sylvestris;species;0
1205;Aposeris foetida;species;0
1206;Berula erecta;species;0
1207;Carum carvi;species;0
1208;Chaerophyllum hirsutum;species;0
1209;Cirsium oleraceum;species;0
1211;Crepis paludosa;species;0
1212;Galinsoga parviflora;species;0
1213;Helosciadium nodiflorum;species;0
1214;Heracleum austriacum;species;0
1215;Heracleum sphondylium;species;0
1216;Lathyrus linifolius;species;0
1217;Leontodon;genus;0
1218;Mutellina adonidifolia;species;0
1219;Mutellina purpurea;species;0
1220;Oenanthe crocata;species;0
1221;Sium erectum;species;0
1222;Sonchus oleraceus;species;0
1224;Torilis neglecta;species;0
1227;Medicago;genus;0
1228;Triticum;genus;0
1229; Poaceae ;family;0
1230; Brassicaceae ;family;0
1231; Fabaceae ;family;0
1232; Asteraceae ;family;0
1233; Rosaceae ;family;0
1234; Primulaceae ;family;0
1235; Geraniaceae ;family;0
1236; Lamiaceae ;family;0
1237; Amaranthaceae ;family;0
1238; Balsaminaceae ;family;0
1239; Linaceae ;family;0
1240; Streptophytina ;family;0
1241; Cucurbitaceae ;family;0
1242; Solanaceae ;family;0
1243;Asterionella;genus;0
1246;Abelmoschus esculentus;species;0
1248;Actinidia chinensis;species;0
1249;Ageratum conyzoides;species;0
1250;Ageratum houstonianum;species;0
1251;Allium cepa;species;0
1252;Allium sativum;species;0
1254;Arracacia xanthorrhiza;species;0
1255;Asparagus officinalis;species;0
1256;Averrhoa carambola;species;0
1257;Beta vulgaris;species;0
1258;Callistephus chinensis;species;0
1259;Camellia sinensis;species;0
1260;Capsicum ;species;0
1261;Capsicum annuum;species;0
1263;Catharanthus roseus;species;0
1264;Chromolaena odorata;species;0
1266;Citrullus lanatus;species;0
1267;Citrus ;species;0
1268;Citrus limon;species;0
1269;Citrus sinensis;species;0
1270;Convolvulus arvensis;species;0
1271;Corylus ;species;0
1272;Cucumis melo;species;0
1273;Cucumis sativus;species;0
1274;Cucurbita moschata;species;0
1275;Cucurbita pepo;species;0
1276;Dahlia pinnata;species;0
1277;Dianthus caryophyllus;species;0
1278;Diospyros;species;0
1279;Elettaria cardamomum;species;0
1280;Enterolobium cyclocarpum;species;0
1281;Euonymus alatus;species;0
1282;Euphorbia pulcherrima;species;0
1284;Ficus carica;species;0
1285;Fragaria ananassa;species;0
1286;Freesia ;species;0
1287;Gerbera;species;0
1288;Gerbera jamesonii;species;0
1289;Glycine max;species;0
1290;Gossypium ;species;0
1291;Gypsophila;species;0
1292;Hedera helix;species;0
1294;Ilex crenata;species;0
1295;Impatiens ;species;0
1296;Ipomoea batatas;species;0
1297;Lactuca sativa;species;0
1299;Manihot esculenta;species;0
1301;Mentha ;species;0
1302;Nicotiana tabacum;species;0
1303;Orchidaceae ;species;0
1305;Papaver orientale;species;0
1306;Pelargonium ;species;0
1307;Phaseolus ;species;0
1308;Phaseolus vulgaris;species;0
1309;Phoenix dactylifera;species;0
1310;Prunus avium;species;0
1311;Prunus cerasus;species;0
1312;Prunus domestica;species;0
1313;Prunus dulcis;species;0
1314;Prunus persica;species;0
1315;Prunus salicina;species;0
1316;Pueraria montana;species;0
1317;Pyrus communis;species;0
1318;Rhododendron ;species;0
1319;Ribes nigrum;species;0
1320;Ribes rubrum;species;0
1321;Ricinus communis;species;0
1322;Rosa ;species;0
1323;Rosa chinensis;species;0
1324;Rubus idaeus;species;0
1325;Rubus loganobaccus;species;0
1326;Salvia splendens;species;0
1327;Sechium edule;species;0
1328;Sesamum indicum;species;0
1330;Solanum melongena;species;0
1331;Sorghum bicolor;species;0
1332;Stachys arvensis;species;0
1333;Terminalia catappa;species;0
1334;Tilia cordata;species;0
1335;Trifolium repens;species;0
1336;Trifolium vesiculosum;species;0
1337;Vicia faba;species;0
1338;Vicia sativa;species;0
1340;Vigna radiata;species;0
1341;Vigna unguiculata;species;0
1342;Viola odorata;species;0
1343;Vitis vinifera;species;0
1344;Withania somnifera;species;0
1345;Zantedeschia aethiopica;species;0
1348;Agrostis capillaris;species;0
1349;Agrostis stolonifera;species;0
1352;Festuca arundinacea;species;0
1353;Festuca nigrescens;species;0
1354;Lolium perenne;species;0
1355;Panicum tennesseense;species;0
1356;Panicum virgatum;species;0
1357;Paspalum vaginatum;species;0
1359;Pennisetum clandestinum;species;0
1361;Poa pratensis;species;0
1362;Poa trivialis;species;0
1363;Setaria italica;species;0
1364;Trifolium aestivum;species;0
1365;Trifolium subterraneum;species;0
1409;Light;NA;0
1420;Decaying_wood;NA;0
1839;Ranunculaceae;family;0
1840;Euphorbiaceae;family;0
1841;Rosaceae;family;0
1843;Primulaceae;family;0
1844;Plantaginaceae;family;0
1845;Violaceae;family;0
1850;Salicaceae;family;0
1864;Chenopodiaceae;family;0
1865;Solanaceae;family;0
1868;Liliaceae;family;0
