"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,0760990589439432;0,0748501589378372;0,208175208256879;0,104896431465674;0,0844731974347663;0,0474076104258758;0,0741410350486118;0,0505885967159665;0,149942299158235;0,0572006107507874;0,0882221975184776;0,124405065449935;0,107459902995526;0,235211548821835;0,276621153616496;0,210545667193086;0,215100483880051;0,241998446937997;0,0885091031847267;0,0934164001700772;0,156749973857576;0,109434030847489;0,0988960144098632;0,066671327745865;0,104151082985428;0,0682859173602921;0,0857457150084455;0,100953356789713;0,0623300369720561
"P2";0,0760990589439432;0;0,302197308320141;0,304468297036068;0,110004143779242;0,0834928936267374;0,0661870086983827;0,0633241659015855;0,0768831740442657;0,0723601890871448;0,0868905536495401;0,0961329888456073;0,063391442155309;0,0824322067241501;0,277431084576678;0,215432537153434;0,21852603425759;0,237100477483452;0,275384796447041;0,1179692660975;0,120005372530318;0,122703912385677;0,121587260769046;0,0900543027146934;0,110195691173914;0,0566781489869812;0,0808419637320414;0,0797883992098014;0,0747531734837801;0,0560240427570782
"P3";0,0748501589378372;0,0768831740442657;0;0,0984296488598044;0,11516610785628;0,0503833862816478;0,0805881246476612;0,0739974834870611;0,250394381940532;0,0656607494122907;0,0747325919568351;0,293014916999981;0,0989285025762834;0,117891322686344;0,271536889162006;0,275614169662908;0,224690273842459;0,222807598787312;0,212510987195278;0,0743167502309647;0,0508340086370502;0,101421759423775;0,153436080876536;0,0700902332284736;0,0549450549450547;0,0909572362517428;0,115805986791868;0,0961201854511449;0,0745652412730993;0,0637637989645516
"P4";0,302197308320141;0,250394381940532;0,293014916999981;0;0,0827801203375786;0,0731108734172736;0,0613169306589274;0,0615233298511833;0,2087182813177;0,135300060942361;0,0603453005047103;0,241152875030076;0,104151082985428;0,0940247203232882;0,260878493878206;0,296085936510891;0,163063606538543;0,246071347448703;0,282967474372046;0,0835318705157493;0,0892395690440979;0,111366992621712;0,1272755445872;0,0613195792237364;0,0659499907091099;0,0890386543647552;0,105988671754442;0,0604473188771648;0,0812758225607;0,105035064419463
"P5";0,208175208256879;0,2087182813177;0,241152875030076;0,158925944071462;0;0,0793481548402299;0,0458580387754473;0,0958638886019851;0,24913534780474;0,0890095034492668;0,055772895447842;0,291778002292861;0,0566781489869812;0,0964445306029758;0,256807424392049;0,289885246464354;0,169033814072618;0,24222755371621;0,294923318914234;0,119246684887901;0,0947561960144903;0,0691068306759963;0,121408947858821;0,0725134708506974;0,0933275223139898;0,0950809135259794;0,0846066367682523;0,0862629709276903;0,0872742294127586;0,0522095949955719
"P6";0,304468297036068;0,24913534780474;0,291778002292861;0,0393376892966657;0,143921781302371;0;0,0792640134423415;0,0602941176470591;0,103362900549618;0,110809322345352;0,0543983362476423;0,124834050547206;0,0909572362517428;0,0866033626871858;0,292850444277176;0,143921781302371;0,19718898480169;0,287280542570693;0,288725412955044;0,0994421889412092;0,0767710874429832;0,111717733254684;0,128064791088401;0,0425695744000751;0,0786670302891679;0,0703725326955156;0,0708604343707679;0,0652308677162452;0,0654382593705485;0,0630136852224836
"P7";0,0984296488598044;0,103362900549618;0,124834050547206;0,222794892426979;0,157537594036219;0,231914325629592;0;0,0714323883354322;0,0981798921653099;0,0745049960580282;0,077811917102832;0,126536723350442;0,10096613515867;0,158925944071462;0,30296231367411;0,157537594036219;0,185844393092437;0,270262397299227;0,0703265568738713;0,112096642138808;0,0829936584219513;0,129067902161624;0,12621820229506;0,0824405330500417;0,0851260403486234;0,089004529780256;0,0974923089936246;0,0901024562118036;0,0817793503576074;0,088548853120352
"P8";0,104896431465674;0,0981798921653099;0,126536723350442;0,20787965405086;0,122144986408829;0,215100483880051;0,0703265568738713;0;0,133056696562212;0,0733621759752296;0,0697335961140539;0,146050341558512;0,1192523749343;0,0393376892966657;0,239686169986628;0,122144986408829;0,192056496292332;0,249172547335965;0,100009641694262;0,0983002755549005;0,108061848845671;0,14613950849853;0,115101389999612;0,0531409846397402;0,0957521358300173;0,0951172934256885;0,0874588260888469;0,0654208450492566;0,0637373637401102;0,0576029800002082
"P9";0,110004143779242;0,133056696562212;0,146050341558512;0,231226233003854;0,154285604045539;0,237100477483452;0,100009641694262;0,0761222453650521;0;0,0743525573471089;0,0656607494122907;0,1349874907747;0,0703725326955156;0,222794892426979;0,267751721486144;0,154285604045539;0,221383261427459;0,269023393035478;0,166600396516033;0,0993792686876305;0,0643414904530262;0,101027270098742;0,118513491580133;0,0798000931044796;0,125624661652838;0,0847262227884555;0,107099369371336;0,0764810576316137;0,080780178311896;0,0779341873612636
"P10";0,11516610785628;0,149942299158235;0,1349874907747;0,224154325096253;0,140807743731922;0,222807598787312;0,166600396516033;0,146596492918317;0,158857171239393;0;0,069971602039949;0,107435883462814;0,10085487736035;0,20787965405086;0,290645087305173;0,140807743731922;0,17285365951501;0,298568631783674;0,112504830383706;0,148672687814714;0,0945609657087658;0,10587974227267;0,12946137912168;0,0973536296657258;0,115407027118057;0,0955395010321944;0,0924792528266718;0,0944151397594244;0,103294100793231;0,0598606042751966
"P11";0,0827801203375786;0,0723601890871448;0,107435883462814;0,242324459281481;0,172456705828903;0,246071347448703;0,112504830383706;0,0845342181513185;0,123751073693924;0,0993642814638684;0;0,10611023851521;0,0951172934256885;0,231226233003854;0,240028858737785;0,172456705828903;0,198847355266899;0,291671141016565;0,0983002755549005;0,115365945300847;0,0636014435184986;0,0869341605238079;0,128750948979159;0,0881926048846502;0,137221727746653;0,0699906095271894;0,0539625612733772;0,0890699058848394;0,082132609808419;0,0658782475039514
"P12";0,0844731974347663;0,0656607494122907;0,10611023851521;0,235211548821835;0,183175267694126;0,24222755371621;0,0983002755549005;0,0862334327990186;0,140124800560249;0,118535298464676;0,042098896997055;0;0,0728202224344847;0,224154325096253;0,245528294904819;0,183175267694126;0,161475938942167;0,238439858948205;0,0712477391813748;0,0761222453650521;0,0869351758147983;0,0926834102463312;0,147630950529279;0,127329239466487;0,122356795791597;0,117891322686344;0,0385436021423859;0,0333122445166345;0,0785735838873354;0,0990764225139327
"P13";0,0834928936267374;0,135300060942361;0,124405065449935;0,277431084576678;0,190223491574352;0,287280542570693;0,0712477391813748;0,111513829371805;0,0783303770220942;0,163615930956822;0,141005830908307;0,127329239466487;0;0,242324459281481;0,28683292800884;0,190223491574352;0,206493313169516;0,283518279425861;0,0877899891947065;0,146596492918317;0,136907392357222;0,153638471663146;0,139045360237839;0,10611023851521;0,0917997006262126;0,081843540092341;0,0747171232635397;0,0779699107162981;0,0980102849061333;0,0440377244264785
"P14";0,0503833862816478;0,0890095034492668;0,063391442155309;0,271536889162006;0,19424841697454;0,270262397299227;0,0877899891947065;0,0657740606269943;0,0949729788106104;0,1349874907747;0,107435883462814;0,10611023851521;0,0851260403486234;0;0,234889577474821;0,19424841697454;0,225997426563671;0,289451176690861;0,0858688268231822;0,0845342181513185;0,0984517795258895;0,119119880997398;0,121529520313239;0,126871787144521;0,116804233780912;0,120579568182863;0,082452899159813;0,0642349366758723;0,0868999891652134;0,0577468666711285
"P15";0,0731108734172736;0,110809322345352;0,0989285025762834;0,260878493878206;0,181315317023258;0,249172547335965;0,0858688268231822;0,0762519062527038;0,0677223608465591;0,145532277923981;0,105146398327683;0,126871787144521;0,0957521358300173;0,0618346501952043;0;0,181315317023258;0,212936562408505;0,238788951760055;0,0844993859802901;0,0862334327990186;0,158857171239393;0,127070347539599;0,042098896997055;0,0480919007952378;0,122031238863913;0,0866033626871858;0,114223905411873;0,0882360749271558;0,0533308762899147;0,0881615983278379
"P16";0,0793481548402299;0,0745049960580282;0,104151082985428;0,256807424392049;0,210545667193086;0,269023393035478;0,0844993859802901;0,102626788347566;0,156749973857576;0,136014055441237;0,0756338774285592;0,0480919007952378;0,125624661652838;0,104151082985428;0,113610780239864;0;0,231914325629592;0,25245290996889;0,116642209512352;0,111513829371805;0,123751073693924;0,0993642814638684;0,141005830908307;0,0732733023029903;0,127696814420947;0,113610780239864;0,0926908161313318;0,105123375208292;0,0870741188503024;0,0333381608796455
"P17";0,0474076104258758;0,0733621759752296;0,0566781489869812;0,292850444277176;0,21852603425759;0,298568631783674;0,116642209512352;0,0934164001700772;0,122703912385677;0,109434030847489;0,0801289352062002;0,0732733023029903;0,115407027118057;0,0566781489869812;0,0913015982361964;0,0708604343707679;0;0,282336578581363;0,137356187276002;0,0657740606269943;0,140124800560249;0,118535298464676;0,107435883462814;0,099457784774206;0,118009600032134;0,0913015982361964;0,0705152281648753;0,0552764849197589;0,0811688227208085;0,0666835359724458
"P18";0,0661870086983827;0,0743525573471089;0,0909572362517428;0,30296231367411;0,224690273842459;0,291671141016565;0,137356187276002;0,120005372530318;0,101421759423775;0,121587260769046;0,0724951255752575;0,099457784774206;0,137221727746653;0,0909572362517428;0,0770940662742905;0,0974923089936246;0,0751349949494373;0;0,0785256259618117;0,0762519062527038;0,0783303770220942;0,163615930956822;0,105146398327683;0,0785033126107288;0,14125014077267;0,0770940662742905;0,105530724073923;0,063346091406832;0,0860106403870184;0,0944678070887228
