"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P20";0,0653266331658289;0,0808080808080807;0,104166666666667;0,126315789473684;0,0890052356020945;0,142857142857143;0,0714285714285714;0,0653266331658289;0,0618556701030932;0,0686274509803921;0,0837438423645318;0,0784313725490198;0,0851063829787235;0,088082901554404;0,0761421319796953;0,089108910891089;0,0653266331658289;0,0699999999999998;0,0646766169154229;0;0,0687830687830686;0,0854271356783918;0,0699999999999998;0,0738916256157638;0,115789473684211;0,0761421319796953;0,0761421319796953;0,0600000000000003;0,0693069306930696;0,0707070707070705
"P21";0,0404040404040407;0,0659898477157357;0,0575916230366496;0,142857142857143;0,115789473684211;0,148936170212766;0,0974358974358978;0,0707070707070705;0,0984455958549226;0,0640394088669947;0,0693069306930696;0,0738916256157638;0,101604278074866;0,0625;0,0714285714285714;0,0646766169154229;0,0404040404040407;0,0753768844221103;0,0600000000000003;0,0646766169154229;0;0,0686274509803921;0,0646766169154234;0,0439024390243907;0,113513513513513;0,0714285714285714;0,0707070707070705;0,0693069306930696;0,0640394088669947;0,0777202072538858
"P22";0,0699999999999998;0,0653266331658287;0,0777202072538858;0,120418848167539;0,125;0,11578947368421;0,0659898477157352;0,0699999999999998;0,107692307692308;0,0536585365853663;0,0686274509803926;0,0439024390243907;0,1005291005291;0,0721649484536084;0,101010101010101;0,0541871921182264;0,0599999999999998;0,0845771144278613;0,0693069306930696;0,0640394088669951;0,0792079207920788;0;0,0792079207920788;0,0192307692307696;0,121693121693122;0,101010101010101;0,0653266331658289;0,0536585365853663;0,0338164251207727;0,0761421319796947
"P23";0,0640394088669947;0,0594059405940597;0,0714285714285718;0,123711340206186;0,128205128205129;0,129533678756477;0,0800000000000001;0,0738916256157633;0,121212121212122;0,0576923076923082;0,06280193236715;0,0192307692307696;0,104166666666667;0,0761421319796951;0,0845771144278602;0,0388349514563111;0,0443349753694582;0,07843137254902;0,0536585365853663;0,0679611650485441;0,0634146341463422;0,0338164251207727;0;0,0485436893203883;0,115789473684211;0,0845771144278602;0,0404040404040407;0,0738916256157638;0,0536585365853663;0,0808080808080807
"P24";0,0646766169154229;0,0499999999999998;0,0618556701030932;0,145833333333333;0,139896373056995;0,141361256544502;0,101010101010101;0,0845771144278609;0,091836734693878;0,058252427184466;0,0634146341463422;0,0485436893203883;0,105263157894737;0,0769230769230766;0,0753768844221103;0,0588235294117647;0,0447761194029854;0,0396039603960394;0,0738916256157638;0,0588235294117647;0,0443349753694582;0,0536585365853663;0,0384615384615388;0;0,0531914893617018;0,0753768844221103;0,0599999999999998;0,0746268656716416;0,0640394088669951;0,074626865671642
"P25";0,0653266331658289;0,0808080808080807;0,0833333333333337;0,115789473684211;0,109947643979058;0,121693121693122;0,0918367346938771;0,0552763819095476;0,0824742268041241;0,0490196078431373;0,0443349753694582;0,0588235294117647;0,117021276595745;0,0777202072538858;0,0659898477157361;0,0792079207920793;0,0653266331658289;0,0699999999999998;0,0746268656716416;0,0594059405940592;0,0646766169154229;0,0640394088669951;0,0582524271844664;0,0588235294117647;0;0,0659898477157361;0,0443349753694582;0,0769230769230773;0,0761421319796947;0,0731707317073174
"P26";0,0673575129533683;0,0625000000000004;0,0752688172043008;0,141304347826086;0,124324324324324;0,136612021857923;0,0947368421052632;0,0777202072538858;0,0851063829787231;0,0707070707070705;0,0659898477157352;0,0909090909090911;0,0879120879120874;0,0695187165775399;0,0680628272251311;0,102040816326531;0,0777202072538858;0,0618556701030928;0,0769230769230773;0,0612244897959182;0,0769230769230773;0,0761421319796947;0,0900000000000003;0,0606060606060601;0,0714285714285714;0;0,0447761194029854;0,0640394088669947;0,0634146341463422;0,0776699029126211
"P27";0,0845771144278609;0,0699999999999998;0,0927835051546391;0,0937499999999998;0,0984455958549222;0,0890052356020941;0,0909090909090911;0,0547263681592043;0,0714285714285718;0,058252427184466;0,0536585365853663;0,0485436893203883;0,115789473684211;0,0974358974358973;0,0653266331658289;0,0882352941176472;0,074626865671642;0,0792079207920788;0,0640394088669947;0,0588235294117647;0,0640394088669947;0,0634146341463422;0,0480769230769236;0,0485436893203883;0,029411764705882;0,0707070707070705;0;0,0606060606060606;0,0699999999999998;0,0900000000000001
"P28";0,0510204081632653;0,0666666666666669;0,0687830687830691;0,155080213903743;0,138297872340426;0,161290322580645;0,088082901554404;0,0714285714285714;0,120418848167539;0,074626865671642;0,0699999999999998;0,0547263681592043;0,113513513513513;0,0631578947368419;0,0927835051546386;0,0653266331658289;0,0408163265306125;0,086294416243655;0,0606060606060606;0,0753768844221103;0,0606060606060606;0,0699999999999998;0,0541871921182264;0,074626865671642;0,0552763819095476;0,0777202072538858;0,074626865671642;0;0,0784313725490193;0,0646766169154229
"P29";0,0699999999999998;0,0854271356783913;0,088082901554404;0,151832460732985;0,145833333333333;0,157894736842105;0,126903553299492;0,11;0,107692307692308;0,082926829268293;0,0784313725490193;0,0731707317073174;0,121693121693122;0,11340206185567;0,101010101010101;0,0837438423645318;0,0799999999999996;0,0646766169154234;0,0891089108910885;0,0738916256157633;0,0693069306930696;0,0784313725490193;0,0724637681159421;0,0439024390243907;0,0738916256157633;0,0761421319796947;0,0731707317073174;0,0900000000000001;0;0,0536585365853663
"P30";0,0547263681592043;0,0900000000000001;0,0824742268041241;0,145833333333333;0,139896373056995;0,151832460732984;0,101010101010101;0,0845771144278609;0,122448979591837;0,0679611650485437;0,0731707317073174;0,0679611650485437;0,115789473684211;0,0871794871794869;0,0854271356783918;0,0490196078431373;0,0646766169154229;0,0693069306930691;0,0640394088669947;0,0784313725490198;0,0640394088669947;0,0536585365853663;0,0480769230769236;0,058252427184466;0,0686274509803921;0,0808080808080807;0,0776699029126211;0,0646766169154229;0,0536585365853663;0
