"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,0666666666666667;0,0687830687830688;0,138297872340426;0,0918367346938775;0,0746268656716416;0,0510204081632653;0,0640394088669951;0,0547263681592038;0,0900000000000001;0,0558375634517767;0,085427135678392;0,101123595505618;0,0833333333333333;0,114583333333333;0,141304347826087;0,151832460732984;0,096774193548387;0,121693121693122;0,0714285714285714;0,0714285714285714;0,134020618556701;0,0547263681592038;0,083743842364532;0,0588235294117647;0,088082901554404;0,0680628272251307;0,0653266331658291;0,0891089108910892;0,0536585365853659
"P2";0,0666666666666667;0;0,165775401069519;0,172043010752688;0,109947643979057;0,0810810810810811;0,0659898477157361;0,0646766169154227;0,0638297872340425;0,0753768844221105;0,0808080808080809;0,0900000000000001;0,0491803278688525;0,075268817204301;0,147727272727272;0,09375;0,138297872340426;0,104972375690608;0,136612021857923;0,0974358974358975;0,106598984771574;0,109947643979057;0,0693069306930694;0,0693069306930694;0,0909090909090908;0,0526315789473684;0,0653266331658291;0,0777202072538861;0,0640394088669951;0,0384615384615385
"P3";0,0687830687830688;0,0638297872340425;0;0,0880829015544042;0,0646766169154227;0,0526315789473684;0,0707070707070707;0,0653266331658291;0,139784946236559;0,0700000000000001;0,0659898477157361;0,155555555555555;0,0802139037433156;0,0927835051546391;0,138121546961326;0,155080213903743;0,153439153439153;0,120418848167539;0,0890052356020943;0,0659898477157361;0,0505050505050506;0,104166666666667;0,083743842364532;0,0686274509803921;0,0485436893203883;0,0890052356020943;0,0927835051546391;0,0746268656716416;0,0646766169154229;0,058252427184466
"P4";0,165775401069519;0,139784946236559;0,155555555555555;0;0,0700000000000001;0,0721649484536082;0,0653266331658291;0,0673575129533679;0,155080213903743;0,119565217391304;0,0653266331658291;0,160220994475138;0,0833333333333333;0,0687830687830688;0,124324324324324;0,151832460732984;0,105263157894737;0,126315789473684;0,161290322580645;0,0800000000000001;0,0653266331658291;0,0984455958549222;0,0686274509803921;0,0628019323671498;0,0547263681592038;0,0729166666666667;0,101010101010101;0,0408163265306123;0,0640394088669951;0,0900000000000001
"P5";0,138297872340426;0,155080213903743;0,160220994475138;0,0949720670391061;0;0,0653266331658291;0,0404040404040404;0,0845771144278606;0,135135135135135;0,0793650793650793;0,0594059405940595;0,150837988826816;0,0476190476190477;0,0880829015544042;0,136842105263158;0,145833333333333;0,0890052356020941;0,120418848167539;0,157894736842105;0,101010101010101;0,0707070707070707;0,0618556701030928;0,0640394088669951;0,0634146341463415;0,0731707317073171;0,088082901554404;0,085427135678392;0,0800000000000001;0,0679611650485437;0,0480769230769231
"P6";0,172043010752688;0,135135135135135;0,150837988826816;0,03954802259887;0,0786516853932584;0;0,0700000000000001;0,0510204081632653;0,104166666666667;0,0984455958549222;0,05;0,096774193548387;0,0842105263157895;0,0824742268041236;0,155080213903743;0,0786516853932584;0,11578947368421;0,154285714285714;0,151832460732984;0,0918367346938775;0,0700000000000001;0,0984455958549222;0,0536585365853659;0,0443349753694582;0,0679611650485437;0,0625;0,0552763819095476;0,0646766169154227;0,0588235294117647;0,0541871921182266
"P7";0,0880829015544042;0,104166666666667;0,096774193548387;0,108695652173913;0,102702702702703;0,114754098360656;0;0,0700000000000001;0,0974358974358975;0,0808080808080809;0,0808080808080809;0,1005291005291;0,0785340314136125;0,0949720670391061;0,170212765957447;0,102702702702703;0,125;0,133333333333333;0,0673575129533679;0,0947368421052632;0,0738916256157636;0,107692307692308;0,0576923076923077;0,0659898477157361;0,0726256983240223;0,0721649484536082;0,0900000000000001;0,0753768844221105;0,0594059405940595;0,0724637681159421
"P8";0,0918367346938775;0,0974358974358975;0,1005291005291;0,0909090909090908;0,0638297872340425;0,096774193548387;0,0673575129533679;0;0,11578947368421;0,0666666666666667;0,0624999999999998;0,130434782608696;0,104166666666667;0,03954802259887;0,121693121693122;0,0638297872340425;0,128205128205128;0,108695652173913;0,0851063829787233;0,0909090909090908;0,0845771144278606;0,121212121212121;0,058252427184466;0,0536585365853659;0,0819672131147542;0,0761421319796953;0,0845771144278606;0,0700000000000001;0,0612244897959184;0,0480769230769231
"P9";0,109947643979057;0,11578947368421;0,130434782608696;0,098901098901099;0,0819672131147542;0,104972375690608;0,0851063829787233;0,0575916230366491;0;0,0612244897959184;0,0700000000000001;0,0824742268041236;0,0575916230366491;0,108695652173913;0,126315789473684;0,0819672131147542;0,139896373056995;0,153439153439153;0,0909090909090908;0,0880829015544042;0,0552763819095476;0,0918367346938775;0,0490196078431373;0,0700000000000001;0,106382978723404;0,0769230769230769;0,0891089108910892;0,0753768844221105;0,0588235294117647;0,0588235294117647
"P10";0,0646766169154227;0,0900000000000001;0,0824742268041236;0,125;0,10880829015544;0,120418848167539;0,0909090909090908;0,0746268656716416;0,102040816326531;0;0,0666666666666667;0,0880829015544042;0,0777202072538861;0,0909090909090908;0,142857142857143;0,10880829015544;0,109947643979057;0,161290322580645;0,106598984771574;0,126903553299492;0,0777202072538861;0,0824742268041236;0,0707070707070707;0,0784313725490196;0,102702702702703;0,0777202072538858;0,0646766169154229;0,0845771144278606;0,0753768844221105;0,0606060606060606
