"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,066659826968149;0,0684268431664051;0,137862629335757;0,0918367346938798;0,0744672481645741;0,0510204081632662;0,0637290828239179;0,0545633180175755;0,0897716667688006;0,0557765427842713;0,0852661930837001;0,100997073057482;0,0826393605279289;0,113267563487537;0,14104976347746;0,151047074482654;0,096045494954289;0,120532093478795;0,0711859662508569;0,0714285714285736;0,133609878407353;0,0545633180175755;0,0837376466166924;0,0587983203104401;0,0875296456077446;0,0680557087072427;0,0652674340448707;0,0890840274278808;0,0536522616546596
"P2";0,066659826968149;0;0,165236237919309;0,171375037041433;0,109777615763019;0,0801739788096551;0,0659831413317114;0,0645152830910754;0,0635639253124303;0,0752141732274772;0,0807035222702311;0,0897716667688006;0,0491724162334653;0,0751496143305247;0,147696603131952;0,0924032708637151;0,137862629335757;0,104781974046719;0,136259712393417;0,0972704827221685;0,106592569969463;0,109777615763019;0,0692052160516582;0,0692815062850087;0,0904951644557627;0,0523681742895505;0,0650041415819878;0,0776581041706322;0,0639824416714291;0,0384367650553255
"P3";0,0684268431664051;0,0635639253124303;0;0,0880214962586024;0,0645152830910754;0,0523681742895505;0,0706806484234851;0,0652674340448707;0,139341050304958;0,0697666484560266;0,0659294831844407;0,155526503326396;0,0800305950226686;0,0918141585021468;0,138055559391374;0,154534138405454;0,15290355052646;0,118901862817221;0,0874340722035506;0,0656610036143285;0,0504780538239947;0,103922755658302;0,0836880744783466;0,068627450980393;0,0485436893203891;0,0886640112843624;0,0927566358377653;0,0744672481645741;0,0646701657422444;0,0581534634499607
"P4";0,165236237919309;0,139341050304958;0,155526503326396;0;0,0698963176969613;0,0721374684704411;0,0652674340448707;0,0672947120826608;0,154750044024277;0,118839354380652;0,065162153371253;0,160213851513589;0,0826393605279289;0,0684268431664051;0,123974691222355;0,150734692700164;0,104571429192358;0,124989892172376;0,160613673886127;0,0793581867474956;0,0652674340448707;0,0981148752121991;0,0686025044738734;0,06274707335512;0,0545633180175755;0,0724677267862399;0,100779947995087;0,0408163265306137;0,0640330798772662;0,0893651629785004
"P5";0,137862629335757;0,154750044024277;0,160213851513589;0,0949641961002266;0;0,0652674340448707;0,0403767565242495;0,084419213238074;0,134564001577863;0,0791854656000932;0,0589944784225348;0,15077151368366;0,0472547259656414;0,087255926916945;0,135880504035318;0,144564002423272;0,0881616725924804;0,118901862817221;0,15661676353964;0,100600773739587;0,0706806484234851;0,0614107016079669;0,0639824416714291;0,063408423905642;0,0731645861566244;0,0875296456077446;0,0851115793974292;0,0798974325604357;0,0678632215587247;0,0480523974047727
"P6";0,171375037041433;0,134564001577863;0,15077151368366;0,0395394798052338;0,0786192709983652;0;0,0698963176969613;0,0510204081632662;0,104139578821551;0,0984388513999143;0,0497616301432527;0,096657762834465;0,0837576606442506;0,0814938648487614;0,154534138405454;0,0786192709983652;0,115105882966566;0,154278019109947;0,150369653430893;0,0915994614980907;0,0698963176969613;0,0981148752121991;0,0536522616546596;0,0443285131378399;0,0679611650485449;0,0620460158512546;0,0552165462389023;0,0645152830910754;0,0587983203104401;0,053873599485222
"P7";0,0880214962586024;0,104139578821551;0,096657762834465;0,108431400065211;0,102519986844689;0,114392869669199;0;0,0698963176969613;0,0974292832219452;0,0807035222702311;0,0807035222702311;0,100185018967551;0,0779631981925234;0,0949641961002266;0,169557506356968;0,102519986844689;0,124045453520326;0,133214041163722;0,0672947120826608;0,0947368421052626;0,0735845661626138;0,107162009939278;0,0576680297542198;0,0656610036143285;0,0724239803323375;0,0714769507066834;0,0899746411825638;0,0753703782171479;0,0594059405940586;0,0724094746607379
"P8";0,0918367346938798;0,0974292832219452;0,100185018967551;0,0903215413223235;0,0633569306363782;0,096045494954289;0,0672947120826608;0;0,115680243961568;0,066659826968149;0,0624716522551121;0,130406152790448;0,103488465970476;0,0395394798052338;0,1208624899395;0,0633569306363782;0,126762829719173;0,108225649430373;0,0850775289972802;0,0904951644557627;0,084419213238074;0,120310783771835;0,0582524271844664;0,0536522616546596;0,0813476268783398;0,075018304866185;0,0845708005136863;0,0699740838459159;0,0609792186272401;0,0480523974047727
"P9";0,109777615763019;0,115680243961568;0,130406152790448;0,0987797790490005;0,0818984543922328;0,104781974046719;0,0850775289972802;0,0574115931608429;0;0,0611972503528889;0,0697666484560266;0,0814938648487614;0,0570078163332618;0,108431400065211;0,125342461401603;0,0818984543922328;0,138806168094643;0,152320090100044;0,0904951644557627;0,0880214962586024;0,0552165462389023;0,0911770169894639;0,0489941361470068;0,0698963176969613;0,104997731969705;0,0761030960761285;0,0891089108910872;0,0753703782171479;0,0587983203104401;0,0587983203104401
"P10";0,0645152830910754;0,0897716667688006;0,0814938648487614;0,123699709799449;0,107678680194449;0,118901862817221;0,0904951644557627;0,0744672481645741;0,101388511180593;0;0,066659826968149;0,087255926916945;0,0768838351773646;0,0903215413223235;0,142046526326501;0,107678680194449;0,109123473222539;0,160613673886127;0,106284438239793;0,126596155552524;0,0776581041706322;0,0820390378363627;0,0702839458881132;0,0784313725490201;0,101816944014133;0,0771606643078318;0,0646701657422444;0,084520282801781;0,0753183218508405;0,0601783366042878
