"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,072911518049909;0,0738900876525695;0,202141178588403;0,100517747023275;0,0814353620428074;0,0479736268129615;0,0707867867988063;0,0510424042673992;0,147870159264327;0,0566883531946237;0,0851490799707287;0,125353405148992;0,10279068734861;0,22871525592675;0,268745367409433;0,210270094041551;0,211479030909547;0,236666432444607;0,0835609334677349;0,0888608223921159;0,152734579572116;0,110637233568205;0,0962014559030704;0,0679553192813518;0,099483282363097;0,0689029751129213;0,0827555053961969;0,0966622272610722;0,059068224795441
"P2";0,072911518049909;0;0,292935747309702;0,295091499580313;0,109305199492073;0,0817850358392803;0,0668989107800937;0,0638674699886435;0,0719249683421047;0,0736676637959629;0,0838097262818227;0,0930815494448317;0,0640000000000014;0,0831118325918923;0,272984421556713;0,208238669800915;0,212844668857276;0,22998730822739;0,267301114894404;0,113608578609011;0,11580187389805;0,122202456356361;0,122597392230182;0,0871206044176579;0,105815941691427;0,0555608497538352;0,0761412271950754;0,079109592184197;0,0701001430615142;0,052751096261527
"P3";0,0738900876525695;0,0719249683421047;0;0,09376028539093;0,116396996783334;0,049152594167495;0,0758995369753405;0,0708417646731685;0,247072860184977;0,0667495816637875;0,0715258281926452;0,286905776454902;0,0996876579440244;0,113171228960039;0,264908011204155;0,27349148036072;0,218180368104617;0,213178988053093;0,205000266928003;0,0739266960420291;0,0516239562583476;0,100266302687458;0,149379107058592;0,0714789928449439;0,056022408963579;0,0898742169721343;0,111593601343968;0,0932269056816121;0,0753981169172043;0,0648336042340768
"P4";0,292935747309702;0,247072860184977;0,286905776454902;0;0,0797462478394479;0,0723770200790145;0,0620019053804944;0,0606377499601508;0,209126949989185;0,130508044811101;0,0614177958804303;0,238283137218759;0,099483282363097;0,0893510210807403;0,252110299942091;0,285573253481949;0,162397165263672;0,240251066373348;0,2809224844965;0,082841806864338;0,0846043329612809;0,107753605501708;0,128439273913104;0,0624148202410606;0,0669697771930896;0,0853057891872925;0,105530558033029;0,0569691515989821;0,0783023498676606;0,100375347451102
"P5";0,202141178588403;0,209126949989185;0,238283137218759;0,16106261272391;0;0,0762783663318233;0,0464065901400367;0,0930078299225826;0,245599544518015;0,0842377382480137;0,0563717775965715;0,285484871469407;0,0555608497538352;0,0954733610637298;0,252510582475013;0,278440578190586;0,161571074640831;0,23577445014369;0,284181110335395;0,114512875541558;0,0902242629765766;0,0676775630129602;0,122740176823273;0,0694045788970292;0,0905554040678825;0,0941266364700559;0,0838258106130578;0,0872107532295407;0,0843337687604564;0,0531680540378355
"P6";0,295091499580313;0,245599544518015;0,285484871469407;0,0403384973363742;0,145591640142175;0;0,0761771956171016;0,056801195814646;0,103847125068113;0,106561140548506;0,0505995956062436;0,12194826558416;0,0898742169721343;0,0853057891872925;0,283556890824183;0,145591640142175;0,191008652333431;0,282925622638385;0,277040319176426;0,0996475420916895;0,0766732286970045;0,111065943186679;0,125341578206442;0,0434054323475773;0,0756963807512367;0,0693853235187207;0,0676362229152473;0,0658206337470768;0,0661331732464565;0,06364997256531
"P7";0,09376028539093;0,103847125068113;0,12194826558416;0,221005022811624;0,158710077148458;0,230234657057784;0;0,0722258296521014;0,0985914112698655;0,0759788118753336;0,0793162025370053;0,123593860112109;0,0974009192476258;0,16106261272391;0,292472303036448;0,158710077148458;0,184376190045793;0,263443273674118;0,0715252547979616;0,109060636825845;0,0827059648579301;0,124435031423516;0,123013023769997;0,0777006539538138;0,0856718961198353;0,0839522003866171;0,0947204326847794;0,0856624493136936;0,0787914904565163;0,0856480399652874
"P8";0,100517747023275;0,0985914112698655;0,123593860112109;0,204216609250194;0,121663579660733;0,211479030909547;0,0715252547979616;0;0,128849780741503;0,0701348232669;0,0648541838277951;0,147449229560165;0,118568413563613;0,0403384973363742;0,235285110379021;0,121663579660733;0,189453938481368;0,239906725557644;0,0967126832365995;0,0982557674756303;0,103572080557257;0,141265009520777;0,115744978926885;0,0541807965075659;0,0957707653325089;0,0897034691388872;0,0876389547468846;0,0661783773526263;0,0627782807892211;0,0543206974275293
"P9";0,109305199492073;0,128849780741503;0,147449229560165;0,224134575129835;0,150183975412774;0,22998730822739;0,0967126832365995;0,0723453629607478;0;0,0710310105170591;0,0667495816637875;0,134905450671243;0,0693853235187207;0,221005022811624;0,25652110701574;0,150183975412774;0,214174846376094;0,264958516190464;0,162997924176459;0,0998119696287194;0,0640601305259679;0,0995408584399235;0,115728324343387;0,0812000452362258;0,120311526989655;0,0832853383968399;0,104490863870654;0,077302698299411;0,0778023611611079;0,0748332118517209
"P10";0,116396996783334;0,147870159264327;0,134905450671243;0,214737881874443;0,134622414775009;0,213178988053093;0,162997924176459;0,142645021056814;0,159018682448167;0;0,0714234145475815;0,102654924114738;0,0959856690186472;0,204216609250194;0,281172284945043;0,134622414775009;0,171419073913966;0,289257428777191;0,1128453785743;0,144622640044442;0,09136838750519;0,101002016931835;0,129254642467403;0,0946396019884799;0,114187765670008;0,0906866831307167;0,0896131558703531;0,0916572939023951;0,100408126577512;0,0586352686584327
