"";"keys";"names";"trophic_group"
"341";"3219826";"Derxia";15
"342";"3219853";"Massilia";15
"343";"3219861";"Duganella";15
"344";"3219864";"Herbaspirillum";15
"345";"3219877";"Herminiimonas";15
"346";"3219881";"Pseudomonas";15
"347";"3219885";"Janthinobacterium";15
"348";"3219897";"Ralstonia";15
"349";"3219898";"Ralstonia solanacearum";15
"350";"3219909";"Paucimonas lemoignei";15
"351";"3219916";"Burkholderia";15
"352";"3219940";"Burkholderia cepacia";15
"353";"3220005";"Cupriavidus";15
"354";"3220012";"Xanthomonas";15
"355";"3220030";"Rhodopseudomonas";15
"356";"3220051";"Pelomonas";15
"357";"3220072";"Rhodoferax";15
"358";"3220095";"Polaromonas";15
"359";"3220112";"Curvibacter";15
"360";"3220118";"Comamonas";15
"361";"3220129";"Delftia";15
"362";"3220140";"Acidovorax";15
"363";"3220160";"Hydrogenophaga";15
"364";"3220176";"Diaphorobacter";15
"365";"3220178";"Variovorax";15
"366";"3220297";"Propionivibrio";15
"367";"3220302";"Dechloromonas";15
"368";"3220311";"Sterolibacterium";15
"369";"3220316";"Denitratisoma";15
"370";"3220318";"Ferribacterium";15
"371";"3220331";"Methylophilus";15
"372";"3220334";"Methylobacillus";15
"373";"3220358";"Nitrosospira";15
"374";"3220375";"Desulfovibrio";15
"375";"3220384";"Syntrophobacter";15
"376";"3220389";"Desulfovirga";15
"377";"3220393";"Syntrophus";15
"378";"3220490";"Desulfuromonas";15
"379";"3220502";"Malonomonas";15
"380";"3220504";"Pelobacter";15
"381";"3220511";"Geothermobacter";15
"382";"3220513";"Geobacter";15
"383";"3220527";"Haliangium";15
"384";"3220542";"Kofleria";15
"385";"3220545";"Anaeromyxobacter";15
"386";"3220549";"Cystobacter";15
"387";"3220586";"Sorangium cellulosum";15
"388";"3220588";"Chondromyces";15
"389";"3220602";"Polyangium";15
"390";"3220678";"Desulfotalea";15
"391";"3220688";"Bdellovibrio";15
"392";"3220694";"Bacteriovorax";15
"393";"3220733";"Rhizobium";15
"394";"3220801";"Mycoplana";15
"395";"3220815";"Ochrobactrum anthropi";15
"396";"3220820";"Methylobacterium";15
"397";"3220848";"Microvirga";15
"398";"3220866";"Methylocella";15
"399";"3220879";"Methylocapsa";15
"400";"3220883";"Blastochloris";15
"401";"3220895";"Pedomicrobium";15
"402";"3220906";"Hyphomicrobium";15
"403";"3220920";"Rhodoplanes";15
"404";"3220926";"Devosia";15
"405";"3220934";"Rhodomicrobium";15
"406";"3220944";"Prosthecomicrobium";15
"407";"3220956";"Labrys";15
"408";"3220964";"Nitratireductor";15
"409";"3220966";"Mesorhizobium";15
"410";"3220999";"Aminobacter";15
"411";"3221031";"Bradyrhizobium";15
"412";"3221069";"Methylosinus";15
"413";"3221070";"Methylosinus trichosporium";15
"414";"3221071";"Methylosinus sporium";15
"415";"3221102";"Woodsholea";15
"416";"3221268";"Caulobacter";15
"417";"3221314";"Sphingosinicella";15
"418";"3221318";"Erythrobacter";15
"419";"3221328";"Flavobacterium";15
"420";"3221329";"Sphingobium";15
"421";"3221347";"Porphyrobacter";15
"422";"3221354";"Sphingomonas";15
"423";"3221548";"Acidisphaera";15
"424";"3221582";"Stella";15
"425";"3221615";"Rhodopila globiformis";15
"426";"3221640";"Skermanella";15
"427";"3221657";"Azospirillum";15
"428";"3221686";"Phenylobacterium lituiforme";15
"429";"3221696";"Caulobacter fusiformis";15
"430";"3221698";"Brevundimonas";15
"431";"3222287";"Dokdonella";15
"432";"3222292";"Thermomonas";15
"433";"3222300";"Lysobacter";15
"434";"3222358";"Rhodanobacter";15
"435";"3222362";"Hydrocarboniphaga";15
"436";"3222364";"Dyella";15
"437";"3222368";"Stenotrophomonas";15
"438";"3222546";"Nitrosococcus";15
"439";"3222596";"Thiorhodospira";15
"440";"3222768";"Saccharophagus";15
"441";"3222857";"Bacteroides";15
"442";"3223030";"Rickettsiella";15
"443";"3223036";"Legionella";15
"444";"3223071";"Legionella lytica";15
"445";"3223108";"Cellvibrio";15
"446";"3223263";"Acinetobacter";15
"447";"3223442";"Sphaerobacter";15
"448";"3223545";"Conexibacter";15
"449";"3223547";"Thermoleophilum";15
"450";"3223550";"Arthrobacter";15
"451";"3223551";"Solirubrobacter";15
"452";"3223562";"Streptosporangium";15
"453";"3224204";"Actinoplanes";15
"454";"3224243C1";"Streptacidiphilus alcalitolerans";15
"455";"3224260";"Sporichthya";15
"456";"3224279";"Cellulomonas";15
"457";"3224302";"Nocardioides";15
"458";"3224324";"Marmoricola";15
"459";"3224336";"Aeromicrobium";15
"460";"3224344";"Kribbella";15
"461";"3224359";"Catenulispora";15
"462";"3224437";"Rhodococcus";15
"463";"3224487";"Actinocatenispora";15
"464";"3224489";"Catellatospora";15
"465";"3224505";"Micromonospora";15
"466";"3224595";"Dactylosporangium";15
"467";"3224612";"Acidothermus";15
"468";"3224724";"Geodermatophilus";15
"469";"3224726";"Blastococcus";15
"470";"3224755";"Kutzneria";15
"471";"3224769";"Pseudonocardia";15
"472";"3224882";"Amycolatopsis tolypomycina";15
"473";"3225210";"Actinomadura";15
"474";"3225218";"Lentzea";15
"475";"3225251";"Rathayibacter";15
"476";"3225265";"Agromyces";15
"477";"3225307";"Salinibacterium";15
"478";"3225314";"Leifsonia";15
"479";"3225337";"Frigoribacterium";15
"480";"3225355";"Clavibacter";15
"481";"3225370";"Microbacterium";15
"482";"3225488";"Nonomuraea";15
"483";"3225653";"Frankia";15
"484";"3225655";"Sanguibacter";15
"485";"3225670";"Microlunatus";15
"486";"3225798";"Kineococcus";15
"487";"3225829";"Oryzihumus";15
"488";"3225840";"Janibacter";15
"489";"3225859";"Acidimicrobium";15
"490";"3225870";"Fusobacterium";15
"491";"3226206";"Clostridium";15
"492";"3226216";"Thermaerobacter";15
"493";"3226460";"Desulfitobacterium";15
"494";"3226904";"Thermoanaerobacter";15
"495";"3227472";"Thermoflavimicrobium";15
"496";"3227538";"Paenibacillus";15
"497";"3227637";"Bacillus";15
"498";"3228067";"Pasteuria";15
"499";"3228138";"Spirochaeta";15
"500";"3228217";"Turneriella";15
"501";"3228262";"Fibrobacter";15
"502";"3228301";"Gemmatimonas";15
"503";"3228350";"Pontibacter";15
"504";"3228397";"Cytophaga";15
"505";"3228479";"Crocinitomix";15
"506";"3228481";"Fluviicola";15
"507";"3228598";"Flavobacterium hydatis";15
"508";"3228645";"Sphingobacterium";15
"509";"3228687";"Chryseobacterium";15
"510";"3228773";"Flexibacter";15
"511";"3228793";"Haliscomenobacter";15
"512";"3228812";"Pedobacter";15
"513";"3228826";"Chitinophaga";15
"514";"3228831";"Chitinophaga pinensis";15
"515";"3228837";"Terrimonas";15
"516";"3228843";"Rhodothermus";15
"517";"3228858";"Adhaeribacter";15
"518";"3228870";"Emticicia";15
"519";"3228891";"Niastella";15
"520";"3228894";"Dyadobacter";15
"521";"3228931";"Cytophaga hutchinsonii";15
"522";"3228980";"Pirellula";15
"523";"3228981";"Pirellula staleyi";15
"524";"3228987";"Isosphaera";15
"525";"3228996";"Rhodopirellula";15
"526";"3228998";"Gemmata";15
"527";"3228999";"Gemmata obscuriglobus";15
"528";"3229010";"Acidobacterium";15
"529";"3229012";"Holophaga";15
"530";"3229014";"Geothrix";15
"531";"3229020";"Opitutus";15
"532";"3229030";"Verrucomicrobium";15
"533";"3229032";"Prosthecobacter";15
"534";"3229040";"Levilinea";15
"535";"3229042";"Caldilinea";15
"536";"3229052";"Chloroflexus";15
"537";"3229055";"Roseiflexus";15
"538";"3235";"Piptocephalidaceae";2
"539";"3235224";"Trinematidae";6
"540";"3235464";"Bodonidae";3
"541";"3235907";"Chlamydophryidae";6
"542";"3236030";"Sphaeroeca";16
"543";"3236919";"Vexillifera";16
"544";"3237749";"Cytophagaceae";15
"545";"3249165";"Nordiidae";16
"546";"3295536";"Apiotrichum porosum";2
"547";"3300";"Glomeraceae";2
"548";"3323387";"Bolbitius vitellinus";2
"549";"3384941";"Chytridium polysiphoniae";2
"550";"3385303";"Rhizophlyctis harderi";2
"551";"3442060";"Pyxidiophora arvernensis";2
"552";"3451388";"Cordyceps cylindrica";2
